86: 92.19, loss: 0.04105116490861365
87: 92.07, loss: 0.04235821722430701
88: 92.25, loss: 0.04039642452792993
89: 92.29, loss: 0.03829984190884534
90: 91.93, loss: 0.038506093584048766
91: 91.86, loss: 0.03915564359073907
92: 92.2, loss: 0.03630340197117625
 93: 92.01, loss: 0.036644844035409324
94: 92.12, loss: 0.03618233833132877
updating lr from 0.00011215665478461513 to 9.346387898717928e-05 95: 92.05, loss: 0.03402721620476047
96: 91.97, loss: 0.03420662844169613
updating lr from 9.346387898717928e-05 to 7.78865658226494e-05 97: 92.36, loss: 0.03397033850110295
98: 92.12, loss: 0.03169077449262371
99: 92.39, loss: 0.03152909418436843
100: 92.27, loss: 0.031344758554167386
 101: 92.37, loss: 0.030608617608815853
 102: 92.2, loss: 0.029443966413200587
103: 92.3, loss: 0.03175383512402924
104: 92.23, loss: 0.02941189508851756
updating lr from 7.78865658226494e-05 to 6.49054715188745e-05105: 92.13, loss: 0.028051871334163234
 106: 92.32, loss: 0.028158171648557908
 updating lr from 6.49054715188745e-05 to 5.4087892932395416e-05107: 92.15, loss: 0.026916751220688775
 108: 92.46, loss: 0.02795706774261941
109: 92.13, loss: 0.028067114869092094
 110: 92.39, loss: 0.025898843259573288
 111: 92.08, loss: 0.02658642491709713
112: 92.42, loss: 0.025800146763517058
 113: 92.27, loss: 0.026816832547990676
 updating lr from 5.4087892932395416e-05 to 4.507324411032951e-05 114: 92.32, loss: 0.02524852715003353
115: 92.21, loss: 0.025687752580139
 updating lr from 4.507324411032951e-05 to 3.7561036758607925e-05 116: 92.56, loss: 0.027076402691010477
 117: 92.39, loss: 0.024563348457388934
 118: 92.18, loss: 0.026485210458691996
 119: 92.32, loss: 0.025444045338526882
 120: 92.55, loss: 0.025908884219109782
 121: 92.35, loss: 0.022951857591102735
 updating lr from 3.7561036758607925e-05 to 3.130086396550661e-05 122: 92.37, loss: 0.02457661285195094
123: 92.35, loss: 0.02332787816716828
updating lr from 3.130086396550661e-05 to 2.608405330458884e-05124: 92.31, loss: 0.022289491569797454
 125: 92.34, loss: 0.022607609605781554
 updating lr from 2.608405330458884e-05 to 2.1736711087157368e-05 126: 92.44, loss: 0.024625835122204315
 127: 92.5, loss: 0.02183181592638911
updating lr from 2.1736711087157368e-05 to 1.8113925905964473e-05128: 92.46, loss: 0.0230687071215099
129: 92.37, loss: 0.02169748100901688
updating lr from 1.8113925905964473e-05 to 1.5094938254970394e-05130: 92.48, loss: 0.02328024933617872
131: 92.08, loss: 0.021277073308081387
 updating lr from 1.5094938254970394e-05 to 1.2579115212475329e-05132: 92.28, loss: 0.022246841927954543
 133: 92.34, loss: 0.01968221575804007
updating lr from 1.2579115212475329e-05 to 1.0482596010396107e-05134: 92.37, loss: 0.022233608766684305
 135: 92.43, loss: 0.020787467028130033
 updating lr from 1.0482596010396107e-05 to 8.735496675330089e-06 136: 92.3, loss: 0.021251227463405967
137: 92.29, loss: 0.020936078335922904
 updating lr from 8.735496675330089e-06 to 7.279580562775074e-06138: 92.4, loss: 0.021276087155529845
