fully training <src.Phenotype.ModuleGraph.ModuleGraph object at 0x2aab2701df60> reported acc: 77.23
fully training ~ num epochs: 300 num augs: 0 feature multiplier: 2
epoch 91 average loss: 0.013739808344505203 accuracy: 77.38 i =0
epoch 92 average loss: 0.013761036536833998 accuracy: 77.4 i =0
 epoch 93 average loss: 0.013416688617380877 accuracy: 77.72 i =0
epoch 94 average loss: 0.011513067607346937 accuracy: 77.43 i =0
epoch 95 average loss: 0.016428803364423112 accuracy: 77.59 i =0
epoch 96 average loss: 0.019073508904051996 accuracy: 77.5 i =0
 epoch 97 average loss: 0.01213556362098982 accuracy: 77.33 i =0
 epoch 98 average loss: 0.014163579104918982 accuracy: 77.42 i =0
epoch 99 average loss: 0.01542462692351561 accuracy: 77.79 i =0
 epoch 100 average loss: 0.017076810461763535 accuracy: 77.15 i =0
epoch 101 average loss: 0.012718894031189773 accuracy: 77.79 i =0
epoch 102 average loss: 0.011070832762767045 accuracy: 77.63 i =0
epoch 103 average loss: 0.017057746772805797 accuracy: 76.95 i =0
epoch 104 average loss: 0.017651340405476994 accuracy: 77.26 i =0
epoch 105 average loss: 0.011428921079208237 accuracy: 77.99 i =0
epoch 106 average loss: 0.015389397253834484 accuracy: 78.13 i =0
epoch 107 average loss: 0.013841179179244706 accuracy: 77.45 i =0
epoch 108 average loss: 0.013756993819366802 accuracy: 76.71 i =0
epoch 109 average loss: 0.01541267743718151 accuracy: 77.08 i =0
epoch 110 average loss: 0.011142347294183761 accuracy: 76.88 i =0
epoch 111 average loss: 0.015168070473568693 accuracy: 77.26 i =0
epoch 112 average loss: 0.017662285260674895 accuracy: 76.8 i =0
epoch 113 average loss: 0.01943186359544417 accuracy: 77.36 i =0
epoch 114 average loss: 0.01142259478740747 accuracy: 76.94 i =0
epoch 115 average loss: 0.01004876473038511 accuracy: 77.33 i =0
epoch 116 average loss: 0.014104623137645319 accuracy: 77.42 i =0
epoch 117 average loss: 0.009953127651643509 accuracy: 77.61 i =0
epoch 118 average loss: 0.01581757299115502 accuracy: 77.07 i =0
epoch 119 average loss: 0.010711548709228311 accuracy: 77.56 i =0
epoch 120 average loss: 0.013848153580929345 accuracy: 77.45 i =0
epoch 121 average loss: 0.014395116729406634 accuracy: 77.39 i =0
epoch 122 average loss: 0.00991427873603513 accuracy: 77.88 i =0
epoch 123 average loss: 0.010451729439208511 accuracy: 77.46 i =0
epoch 124 average loss: 0.012351345475977727 accuracy: 76.96 i =0
epoch 125 average loss: 0.014758086878992379 accuracy: 77.51 i =0
epoch 126 average loss: 0.008547166360019875 accuracy: 77.19 i =0
epoch 127 average loss: 0.010664716630067472 accuracy: 77.58 i =0
epoch 128 average loss: 0.015450991361035886 accuracy: 76.79 i =0
epoch 129 average loss: 0.012720611509264812 accuracy: 76.76 i =0
epoch 130 average loss: 0.009176019684109889 accuracy: 77.6 i =0
epoch 131 average loss: 0.011385684396484902 accuracy: 77.34 i =0
epoch 132 average loss: 0.011395194065708204 accuracy: 77.26 i =0
epoch 133 average loss: 0.012585533546729826 accuracy: 76.73 i =0
epoch 134 average loss: 0.013337038724507932 accuracy: 76.98 i =0
epoch 135 average loss: 0.010418613769218956 accuracy: 77.56 i =0
epoch 136 average loss: 0.009077541220088928 accuracy: 77.84 i =0
epoch 137 average loss: 0.014283561270574296 accuracy: 76.9 i =0
epoch 138 average loss: 0.014032452239651381 accuracy: 76.33 i =0
epoch 139 average loss: 0.013341217708419745 accuracy: 77.52 i =0
epoch 140 average loss: 0.011916647699784377 accuracy: 77.43 i =0
epoch 141 average loss: 0.011821245862869844 accuracy: 77.44 i =0
epoch 142 average loss: 0.00981106934413104 accuracy: 76.84 i =0
epoch 143 average loss: 0.010897574459754703 accuracy: 76.72 i =0
epoch 144 average loss: 0.014537614139414626 accuracy: 76.81 i =0
epoch 145 average loss: 0.01382882806273337 accuracy: 77.43 i =0
epoch 146 average loss: 0.008930350049242626 accuracy: 77.7 i =0
epoch 147 average loss: 0.008951682955141104 accuracy: 77.48 i =0
epoch 148 average loss: 0.012900204592111322 accuracy: 77.23 i =0
epoch 149 average loss: 0.016278095762799857 accuracy: 77.5 i =0
epoch 150 average loss: 0.012164202279073786 accuracy: 76.53 i =0
epoch 151 average loss: 0.006722566928051498 accuracy: 76.62 i =0
epoch 152 average loss: 0.008321491517269658 accuracy: 76.59 i =0
epoch 153 average loss: 0.016195270920914055 accuracy: 76.45 i =0
epoch 154 average loss: 0.017489089450480538 accuracy: 77.58 i =0
epoch 155 average loss: 0.005722337778032818 accuracy: 77.56 i =0
epoch 156 average loss: 0.00790420595303693 accuracy: 77.02 i =0
epoch 157 average loss: 0.014941868824209354 accuracy: 76.85 i =0
epoch 158 average loss: 0.01325393530627219 accuracy: 76.65 i =0
epoch 159 average loss: 0.00794826456072541 accuracy: 77.42 i =0
epoch 160 average loss: 0.0082621877862763 accuracy: 77.12 i =0
 epoch 161 average loss: 0.01371699804380517 accuracy: 76.74 i =0
epoch 162 average loss: 0.0118359439408886 accuracy: 77.21 i =0
 epoch 163 average loss: 0.006169248858845951 accuracy: 76.93 i =0
epoch 164 average loss: 0.01058681295390471 accuracy: 76.58 i =0
epoch 165 average loss: 0.010313035650763103 accuracy: 77.39 i =0
epoch 166 average loss: 0.011850263069594868 accuracy: 76.88 i =0
epoch 167 average loss: 0.011250860683820313 accuracy: 77.07 i =0
epoch 168 average loss: 0.009304259177511999 accuracy: 77.04 i =0
epoch 169 average loss: 0.011360576612428881 accuracy: 76.78 i =0
epoch 170 average loss: 0.008662467557703182 accuracy: 76.79 i =0
epoch 171 average loss: 0.01210609749531929 accuracy: 76.34 i =0
epoch 172 average loss: 0.011463180003108198 accuracy: 76.84 i =0
epoch 173 average loss: 0.010620075472357484 accuracy: 77.5 i =0
epoch 174 average loss: 0.00844495751144944 accuracy: 76.76 i =0
epoch 175 average loss: 0.010962071605551411 accuracy: 77.32 i =0
epoch 176 average loss: 0.011451197170417532 accuracy: 77.12 i =0
epoch 177 average loss: 0.006384388928834668 accuracy: 76.86 i =0
epoch 178 average loss: 0.010640668240346004 accuracy: 76.8 i =0
epoch 179 average loss: 0.010189080074257796 accuracy: 77.7 i =0
epoch 180 average loss: 0.010636587826375315 accuracy: 76.8 i =0
epoch 181 average loss: 0.009283156977267637 accuracy: 77.23 i =0
epoch 182 average loss: 0.009544274966481706 accuracy: 76.82 i =0
epoch 183 average loss: 0.011584314008490224 accuracy: 77.26 i =0
epoch 184 average loss: 0.007131577845037975 accuracy: 77.59 i =0
epoch 185 average loss: 0.011696017634662562 accuracy: 76.62 i =0
epoch 186 average loss: 0.010696653219443124 accuracy: 77.73 i =0
epoch 187 average loss: 0.00741806368745396 accuracy: 76.9 i =0
 epoch 188 average loss: 0.011032620409119603 accuracy: 76.64 i =0
epoch 189 average loss: 0.009515113904404427 accuracy: 76.87 i =0
epoch 190 average loss: 0.010301946701718048 accuracy: 76.89 i =0
epoch 191 average loss: 0.008535926772827681 accuracy: 77.38 i =0
epoch 192 average loss: 0.010443354409459916 accuracy: 77.25 i =0
epoch 193 average loss: 0.007986908819092373 accuracy: 76.96 i =0
epoch 194 average loss: 0.009490379374402738 accuracy: 76.59 i =0
epoch 195 average loss: 0.007249289582198469 accuracy: 76.72 i =0
epoch 196 average loss: 0.014211105547664107 accuracy: 76.64 i =0
epoch 197 average loss: 0.010717133377295908 accuracy: 77.05 i =0
epoch 198 average loss: 0.006437306224384015 accuracy: 76.48 i =0
epoch 199 average loss: 0.011319271876702083 accuracy: 77.07 i =0
epoch 200 average loss: 0.010697533823692845 accuracy: 77.06 i =0
epoch 201 average loss: 0.008904846106082316 accuracy: 76.68 i =0
epoch 202 average loss: 0.00822982528794285 accuracy: 77.6 i =0
 epoch 203 average loss: 0.010003337023658118 accuracy: 76.48 i =0
epoch 204 average loss: 0.008794430695788962 accuracy: 77.01 i =0
epoch 205 average loss: 0.0064878539634193565 accuracy: 77.33 i =0
 epoch 206 average loss: 0.011426901308850657 accuracy: 76.53 i =0
epoch 207 average loss: 0.010707126584538424 accuracy: 76.24 i =0
epoch 208 average loss: 0.006991183955255758 accuracy: 77.47 i =0
epoch 209 average loss: 0.00705479032022547 accuracy: 76.86 i =0
epoch 210 average loss: 0.011894279802349252 accuracy: 76.93 i =0
epoch 211 average loss: 0.010117728587492785 accuracy: 76.94 i =0
epoch 212 average loss: 0.00840310492432377 accuracy: 76.71 i =0
epoch 213 average loss: 0.008463900932200282 accuracy: 76.56 i =0
epoch 214 average loss: 0.007964874886062174 accuracy: 76.67 i =0
epoch 215 average loss: 0.01016441871449065 accuracy: 76.71 i =0
epoch 216 average loss: 0.008291559983116412 accuracy: 76.99 i =0
epoch 217 average loss: 0.008086530570413026 accuracy: 76.36 i =0
epoch 218 average loss: 0.010263162885676884 accuracy: 76.77 i =0
epoch 219 average loss: 0.007286903289803775 accuracy: 77.1 i =0
epoch 220 average loss: 0.009196478716084654 accuracy: 75.8 i =0
epoch 221 average loss: 0.01029459836388367 accuracy: 76.49 i =0
epoch 222 average loss: 0.008346888705343962 accuracy: 76.83 i =0
epoch 223 average loss: 0.006215640347303104 accuracy: 76.63 i =0
epoch 224 average loss: 0.00946420382007136 accuracy: 76.34 i =0
epoch 225 average loss: 0.009132359954367527 accuracy: 76.68 i =0
epoch 226 average loss: 0.0076051297074090805 accuracy: 77.15 i =0
 epoch 227 average loss: 0.005822685421963202 accuracy: 76.3 i =0
epoch 228 average loss: 0.008232900693955403 accuracy: 76.38 i =0
epoch 229 average loss: 0.009651681811342471 accuracy: 76.49 i =0
epoch 230 average loss: 0.009846969709162828 accuracy: 76.3 i =0
epoch 231 average loss: 0.008018847488143533 accuracy: 76.73 i =0
epoch 232 average loss: 0.009149583788748434 accuracy: 76.62 i =0
epoch 233 average loss: 0.006668728293323945 accuracy: 77.45 i =0
epoch 234 average loss: 0.012729469548419556 accuracy: 76.92 i =0
epoch 235 average loss: 0.007255398109078255 accuracy: 76.38 i =0
epoch 236 average loss: 0.0076453547815049355 accuracy: 76.73 i =0
 epoch 237 average loss: 0.004616762636641992 accuracy: 77.38 i =0
epoch 238 average loss: 0.010691251376794029 accuracy: 77.28 i =0
