fully training ~ num epochs: 150 num augs: 1 feature multiplier: 2
                         fully training using augs: [

    Connections: <src.CoDeepNEAT.CDNGenomes.DAGenome object at 0x7fff7b6b74a8>
                 Nodes:["'Translate_Pixels'\n[('x_lo', '-4'), ('x_hi', '4'), ('y_lo', '-4'), ('y_hi', '4')]"]                                                                  Traversal_Dict: {0: [1, 2], 2: [1]}]
                           epoch 82 average loss: 0.14932740091438024 accuracy: 84.47 i =  1
                          epoch 83 average loss: 0.14379812699293051 accuracy: 84.23 i =  1
                          epoch 84 average loss: 0.14462153029731845 accuracy: 84.14 i =  1
                          epoch 85 average loss: 0.1414235529851135 accuracy: 84.22 i =  1
                           epoch 86 average loss: 0.1440818629462496 accuracy: 84.69 i =  1
                           epoch 87 average loss: 0.13947004473335306 accuracy: 84.39 i =  1
                          epoch 88 average loss: 0.1342988201582783 accuracy: 84.34 i =  1
                           epoch 89 average loss: 0.14488364512842536 accuracy: 84.54 i =  1
                          epoch 90 average loss: 0.15168299612311334 accuracy: 84.46 i =  1
                          epoch 91 average loss: 0.14005799792830984 accuracy: 84.46 i =  1
                          epoch 92 average loss: 0.14500700103813036 accuracy: 84.72 i =  1
                          epoch 93 average loss: 0.14195157011801546 accuracy: 84.14 i =  1
                          epoch 94 average loss: 0.14976754280405832 accuracy: 84.01 i =  1
                          epoch 95 average loss: 0.1439836420901072 accuracy: 84.48 i =  1
                           epoch 96 average loss: 0.14727233405607762 accuracy: 84.1 i =  1
                           epoch 97 average loss: 0.15148379687558522 accuracy: 84.58 i =  1
                          epoch 98 average loss: 0.1473988551365047 accuracy: 84.51 i =  1
                           epoch 99 average loss: 0.1390564856137341 accuracy: 84.67 i =  1
                           epoch 100 average loss: 0.14662489548764368 accuracy: 84.33 i =  1
                         epoch 101 average loss: 0.13943195237602835 accuracy: 84.72 i =  1
                         epoch 102 average loss: 0.14521298743068942 accuracy: 84.77 i =  1
                         epoch 103 average loss: 0.13307912578083642 accuracy: 84.76 i =  1
                         epoch 104 average loss: 0.13286123152407275 accuracy: 83.96 i =  1
                         epoch 105 average loss: 0.13014833686370092 accuracy: 84.6 i =  1
                          epoch 106 average loss: 0.13310880525927232 accuracy: 84.33 i =  1
                         epoch 107 average loss: 0.13960389869237527 accuracy: 84.98 i =  1
                         epoch 108 average loss: 0.13193971264472998 accuracy: 84.63 i =  1
                         epoch 109 average loss: 0.13650671632605083 accuracy: 84.79 i =  1
                         epoch 110 average loss: 0.13689233496708844 accuracy: 84.58 i =  1
                         epoch 111 average loss: 0.14320130231247669 accuracy: 84.45 i =  1
                         epoch 112 average loss: 0.14969369930318926 accuracy: 84.85 i =  1
                         epoch 113 average loss: 0.14368048281183468 accuracy: 84.69 i =  1
                         epoch 114 average loss: 0.15491326636469013 accuracy: 84.18 i =  1
                         epoch 115 average loss: 0.15391965958834763 accuracy: 84.5 i =  1
                          epoch 116 average loss: 0.1364395727192394 accuracy: 84.32 i =  1
                          epoch 117 average loss: 0.13485326053200244 accuracy: 84.24 i =  1
                         epoch 118 average loss: 0.1297859649165568 accuracy: 84.04 i =  1
                          epoch 119 average loss: 0.13757575114428158 accuracy: 83.83 i =  1
                         epoch 120 average loss: 0.1282556410998144 accuracy: 84.06 i =  1
                          epoch 121 average loss: 0.14367208862140604 accuracy: 84.46 i =  1
                         epoch 122 average loss: 0.1338651568537027 accuracy: 84.37 i =  1
                          epoch 123 average loss: 0.1355507514140212 accuracy: 84.32 i =  1
                          epoch 124 average loss: 0.15056496939685066 accuracy: 84.26 i =  1
                         epoch 125 average loss: 0.1373267431580074 accuracy: 84.75 i =  1
                          epoch 126 average loss: 0.13828356845945922 accuracy: 84.78 i =  1
                         epoch 127 average loss: 0.13187748596797222 accuracy: 84.59 i =  1
                         epoch 128 average loss: 0.13240333336492507 accuracy: 84.52 i =  1
                         epoch 129 average loss: 0.14614668378794848 accuracy: 84.64 i =  1
                         epoch 130 average loss: 0.14350711013382436 accuracy: 84.14 i =  1
                         epoch 131 average loss: 0.13860379353585378 accuracy: 83.94 i =  1
                         epoch 132 average loss: 0.13389068539045684 accuracy: 84.3 i =  1
                          epoch 133 average loss: 0.1377121818928041 accuracy: 83.92 i =  1
                          epoch 134 average loss: 0.12789656998405993 accuracy: 84.21 i =  1
                         epoch 135 average loss: 0.13241069795857166 accuracy: 84.66 i =  1
                         epoch 136 average loss: 0.13940172841374152 accuracy: 84.69 i =  1
                         epoch 137 average loss: 0.1428353771872618 accuracy: 84.63 i =  1
                          epoch 138 average loss: 0.14865618209603806 accuracy: 84.54 i =  1
                         epoch 139 average loss: 0.150928167566638 accuracy: 84.55 i =  1
                           epoch 140 average loss: 0.1307654603552574 accuracy: 84.11 i =  1
                          epoch 141 average loss: 0.13049305418313084 accuracy: 84.67 i =  1
                         epoch 142 average loss: 0.1291205376319864 accuracy: 83.91 i =  1
                          epoch 143 average loss: 0.13569786150614216 accuracy: 84.84 i =  1
                         epoch 144 average loss: 0.13799865313456244 accuracy: 83.77 i =  1
                         epoch 145 average loss: 0.13958285532882211 accuracy: 84.72 i =  1
                         epoch 146 average loss: 0.12702981583898107 accuracy: 84.65 i =  1
                         epoch 147 average loss: 0.13207260339917964 accuracy: 85.04 i =  1
                         epoch 148 average loss: 0.13546153007220674 accuracy: 84.97 i =  1
                         epoch 149 average loss: 0.13622205308072088 accuracy: 83.75 i =  1
                         epoch 150 average loss: 0.14814201971365762 accuracy: 84.74 i =  1
